"ReportingCountry","Group","Vaccine brand","Week","Group population","Doses received","First dose","Second dose","Unknown dose","Refused first doses","First dose uptake (%)","Second dose uptake (%)","Unknown dose uptake (%)","Total doses","Uptake any dose (%)"
"Portugal","Age50_59","MOD","2021-05","1485319","","1032","0","0","","0.1","0","0","1032","0.1"
"Portugal","Age50_59","AZ","2021-06","1485319","","1550","0","0","","0.1","0","0","1550","0.1"
"Portugal","Age50_59","COM","2021-06","1485319","","2525","15563","5","","0.2","1.04778838754503","0.000336628024013697","18093","1.2"
"Portugal","Age50_59","MOD","2021-06","1485319","","283","121","0","","0.0","0.00814639818113146","0","404","0.0"
"Portugal","Age50_59","AZ","2021-07","1485319","","10114","1","0","","0.7","0.0000673256048027393","0","10115","0.7"
"Portugal","Age50_59","COM","2021-07","1485319","","2043","8516","3","","0.1","0.573344850500128","0.000201976814408218","10562","0.7"
"Portugal","Age50_59","MOD","2021-07","1485319","","31","218","0","","0.0","0.0146769818469972","0","249","0.0"
"Portugal","Age50_59","AZ","2021-08","1485319","","25750","1","0","","1.7","0.0000673256048027393","0","25751","1.7"
"Portugal","Age50_59","COM","2021-08","1485319","","1010","2541","2","","0.1","0.171074361803761","0.000134651209605479","3553","0.2"
"Portugal","Age50_59","MOD","2021-08","1485319","","14","12","0","","0.0","0.000807907257632872","0","26","0.0"
"Portugal","Age60_69","COM","2020-52","1299674","","557","0","0","","0.0","0","0","557","0.0"
"Portugal","Age60_69","COM","2020-53","1299674","","2313","0","0","","0.2","0","0","2313","0.2"
"Portugal","Age60_69","COM","2021-01","1299674","","4115","0","0","","0.3","0","0","4115","0.3"
"Portugal","Age60_69","MOD","2021-02","1299674","","135","0","0","","0.0","0","0","135","0.0"
"Portugal","Age60_69","COM","2021-02","1299674","","4802","116","0","","0.4","0.00892531511748331","0","4918","0.4"
"Portugal","Age60_69","MOD","2021-03","1299674","","120","0","0","","0.0","0","0","120","0.0"
"Portugal","Age60_69","COM","2021-03","1299674","","11367","2674","1","","0.9","0.205743901932331","0.0000769423717024423","14042","1.1"
"Portugal","Age60_69","MOD","2021-04","1299674","","49","0","0","","0.0","0","0","49","0.0"
"Portugal","Age60_69","COM","2021-04","1299674","","5120","3923","0","","0.4","0.301844924188681","0","9043","0.7"
"Portugal","Age60_69","COM","2021-05","1299674","","1371","3917","0","","0.1","0.301383269958467","0","5288","0.4"
"Portugal","Age60_69","MOD","2021-05","1299674","","670","0","0","","0.1","0","0","670","0.1"
"Portugal","Age60_69","AZ","2021-06","1299674","","452","0","0","","0.0","0","0","452","0.0"
"Portugal","Age60_69","COM","2021-06","1299674","","1681","9213","2","","0.1","0.708870070494601","0.000153884743404885","10896","0.8"
"Portugal","Age60_69","MOD","2021-06","1299674","","120","111","0","","0.0","0.0085406032589711","0","231","0.0"
"Portugal","Age60_69","AZ","2021-07","1299674","","12141","1","0","","0.9","0.0000769423717024423","0","12142","0.9"
"Portugal","Age60_69","COM","2021-07","1299674","","1480","5766","3","","0.1","0.443649715236282","0.000230827115107327","7249","0.6"
"Portugal","Age60_69","MOD","2021-07","1299674","","54","102","0","","0.0","0.00784812191364912","0","156","0.0"
"Portugal","Age60_69","AZ","2021-08","1299674","","24190","0","0","","1.9","0","0","24190","1.9"
"Portugal","Age60_69","COM","2021-08","1299674","","3075","1580","0","","0.2","0.121568947289859","0","4655","0.4"
"Portugal","Age60_69","MOD","2021-08","1299674","","73","5","0","","0.0","0.000384711858512212","0","78","0.0"
"Portugal","Age70_79","COM","2020-52","981649","","1","0","0","","0.0","0","0","1","0.0"
"Portugal","Age70_79","COM","2020-53","981649","","30","0","0","","0.0","0","0","30","0.0"
"Portugal","Age70_79","COM","2021-01","981649","","702","1","0","","0.1","0.000101869405459589","0","703","0.1"
"Portugal","Age70_79","MOD","2021-02","981649","","40","0","0","","0.0","0","0","40","0.0"
"Portugal","Age70_79","COM","2021-02","981649","","3428","0","0","","0.3","0","0","3428","0.3"
"Portugal","Age70_79","MOD","2021-03","981649","","11","0","0","","0.0","0","0","11","0.0"
"Portugal","Age70_79","COM","2021-03","981649","","9643","32","0","","1.0","0.00325982097470685","0","9675","1.0"
"Portugal","Age70_79","MOD","2021-04","981649","","4","0","0","","0.0","0","0","4","0.0"
"Portugal","Age70_79","COM","2021-04","981649","","4209","619","1","","0.4","0.0630571619794855","0.000101869405459589","4829","0.5"
"Portugal","Age70_79","COM","2021-05","981649","","1065","2527","0","","0.1","0.257423987596381","0","3592","0.4"
"Portugal","Age70_79","AZ","2021-05","981649","","1","0","0","","0.0","0","0","1","0.0"
"Portugal","Age70_79","MOD","2021-05","981649","","268","0","0","","0.0","0","0","268","0.0"
"Portugal","Age70_79","AZ","2021-06","981649","","1","0","0","","0.0","0","0","1","0.0"
"Portugal","Age70_79","COM","2021-06","981649","","1858","7654","3","","0.2","0.779708429387694","0.000305608216378767","9515","1.0"
"Portugal","Age70_79","MOD","2021-06","981649","","37","39","0","","0.0","0.00397290681292397","0","76","0.0"
"Portugal","Age70_79","AZ","2021-07","981649","","21","0","0","","0.0","0","0","21","0.0"
"Portugal","Age70_79","COM","2021-07","981649","","2000","4561","2","","0.2","0.464626358301185","0.000203738810919178","6563","0.7"
"Portugal","Age70_79","MOD","2021-07","981649","","291","12","0","","0.0","0.00122243286551507","0","303","0.0"
"Portugal","Age70_79","AZ","2021-08","981649","","76","0","0","","0.0","0","0","76","0.0"
"Portugal","Age70_79","COM","2021-08","981649","","4551","1234","0","","0.5","0.125706846337133","0","5785","0.6"
"Portugal","Age70_79","MOD","2021-08","981649","","196","1","0","","0.0","0.000101869405459589","0","197","0.0"
"Portugal","Age80+","COM","2020-53","675863","","2","0","0","","0.0","0","0","2","0.0"
"Portugal","Age80+","COM","2021-01","675863","","3072","1","0","","0.5","0.000147958979852426","0","3073","0.5"
"Portugal","Age80+","COM","2021-02","675863","","14202","0","0","","2.1","0","0","14202","2.1"
"Portugal","Age80+","MOD","2021-03","675863","","1","0","0","","0.0","0","0","1","0.0"
"Portugal","Age80+","COM","2021-03","675863","","38564","3","0","","5.7","0.000443876939557277","0","38567","5.7"
"Portugal","Age80+","MOD","2021-04","675863","","2","0","0","","0.0","0","0","2","0.0"
"Portugal","Age80+","COM","2021-04","675863","","7216","2746","0","","1.1","0.406295358674761","0","9962","1.5"
"Portugal","Age80+","COM","2021-05","675863","","4164","10347","0","","0.6","1.53093156453305","0","14511","2.1"
"Portugal","Age80+","MOD","2021-05","675863","","20","0","0","","0.0","0","0","20","0.0"
"Portugal","Age80+","COM","2021-06","675863","","13135","30748","4","","1.9","4.54944271250239","0.000591835919409703","43887","6.5"
"Portugal","Age80+","MOD","2021-06","675863","","17","0","0","","0.0","0","0","17","0.0"
"Portugal","Age80+","AZ","2021-07","675863","","8","0","0","","0.0","0","0","8","0.0"
"Portugal","Age80+","COM","2021-07","675863","","37208","8903","3","","5.5","1.31727879762615","0.000443876939557277","46114","6.8"
"Portugal","Age80+","MOD","2021-07","675863","","8919","0","1","","1.3","0","0.000147958979852426","8920","1.3"
"Portugal","Age80+","AZ","2021-08","675863","","20","0","0","","0.0","0","0","20","0.0"
"Portugal","Age80+","COM","2021-08","675863","","95501","4443","2","","14.1","0.657381747484327","0.000295917959704851","99946","14.8"
"Portugal","Age80+","MOD","2021-08","675863","","3120","0","0","","0.5","0","0","3120","0.5"
"Portugal","1_Age<60","COM","2020-52","5621673","","4409","0","0","","0.1","0","0","4409","0.1"
"Portugal","1_Age<60","COM","2020-53","5621673","","25526","1","0","","0.5","0.0000177882989636715","0","25527","0.5"
"Portugal","1_Age<60","COM","2021-01","5621673","","34296","3","1","","0.6","0.0000533648968910145","0.0000177882989636715","34300","0.6"
"Portugal","1_Age<60","COM","2021-02","5621673","","23720","1044","0","","0.4","0.018570984118073","0","24764","0.4"
"Portugal","1_Age<60","MOD","2021-02","5621673","","1245","0","0","","0.0","0","0","1245","0.0"
"Portugal","1_Age<60","AZ","2021-03","5621673","","1","0","0","","0.0","0","0","1","0.0"
"Portugal","1_Age<60","COM","2021-03","5621673","","58708","27306","2","","1.0","0.485727291502014","0.000035576597927343","86016","1.5"
"Portugal","1_Age<60","MOD","2021-03","5621673","","1359","1","0","","0.0","0.0000177882989636715","0","1360","0.0"
"Portugal","1_Age<60","COM","2021-04","5621673","","24188","32130","4","","0.4","0.571538045702765","0.000071153195854686","56322","1.0"
"Portugal","1_Age<60","MOD","2021-04","5621673","","481","0","0","","0.0","0","0","481","0.0"
"Portugal","1_Age<60","AZ","2021-05","5621673","","1","0","0","","0.0","0","0","1","0.0"
"Portugal","1_Age<60","COM","2021-05","5621673","","5661","18757","2","","0.1","0.333655123661586","0.000035576597927343","24420","0.4"
"Portugal","1_Age<60","MOD","2021-05","5621673","","5432","0","0","","0.1","0","0","5432","0.1"
"Portugal","1_Age<60","AZ","2021-06","5621673","","8872","1","0","","0.2","0.0000177882989636715","0","8873","0.2"
"Portugal","1_Age<60","COM","2021-06","5621673","","7855","47504","14","","0.1","0.84501535397025","0.000249036185491401","55373","1.0"
"Portugal","1_Age<60","MOD","2021-06","5621673","","1158","860","0","","0.0","0.0152979371087575","0","2018","0.0"
"Portugal","1_Age<60","AZ","2021-07","5621673","","28785","4","0","","0.5","0.000071153195854686","0","28789","0.5"
"Portugal","1_Age<60","COM","2021-07","5621673","","5937","27150","10","","0.1","0.482952316863681","0.000177882989636715","33097","0.6"
"Portugal","1_Age<60","MOD","2021-07","5621673","","182","1283","0","","0.0","0.0228223875703905","0","1465","0.0"
"Portugal","1_Age<60","AZ","2021-08","5621673","","34877","8","0","","0.6","0.000142306391709372","0","34885","0.6"
"Portugal","1_Age<60","COM","2021-08","5621673","","2980","7752","4","","0.1","0.137894893566381","0.000071153195854686","10736","0.2"
"Portugal","1_Age<60","MOD","2021-08","5621673","","118","92","0","","0.0","0.00163652350465778","0","210","0.0"
"Portugal","1_Age60+","COM","2020-52","2957186","","558","0","0","","0.0","0","0","558","0.0"
"Portugal","1_Age60+","COM","2020-53","2957186","","2345","0","0","","0.1","0","0","2345","0.1"
"Portugal","1_Age60+","COM","2021-01","2957186","","7889","2","0","","0.3","0.000067631863535131","0","7891","0.3"
"Portugal","1_Age60+","COM","2021-02","2957186","","22432","116","0","","0.8","0.0039226480850376","0","22548","0.8"
"Portugal","1_Age60+","MOD","2021-02","2957186","","175","0","0","","0.0","0","0","175","0.0"
"Portugal","1_Age60+","COM","2021-03","2957186","","59574","2709","1","","2.0","0.091607359158335","0.0000338159317675655","62284","2.1"
"Portugal","1_Age60+","MOD","2021-03","2957186","","132","0","0","","0.0","0","0","132","0.0"
"Portugal","1_Age60+","COM","2021-04","2957186","","16545","7288","1","","0.6","0.246450510722017","0.0000338159317675655","23834","0.8"
"Portugal","1_Age60+","MOD","2021-04","2957186","","55","0","0","","0.0","0","0","55","0.0"
"Portugal","1_Age60+","AZ","2021-05","2957186","","1","0","0","","0.0","0","0","1","0.0"
"Portugal","1_Age60+","COM","2021-05","2957186","","6600","16791","0","","0.2","0.567803310309193","0","23391","0.8"
"Portugal","1_Age60+","MOD","2021-05","2957186","","958","0","0","","0.0","0","0","958","0.0"
"Portugal","1_Age60+","AZ","2021-06","2957186","","453","0","0","","0.0","0","0","453","0.0"
"Portugal","1_Age60+","COM","2021-06","2957186","","16674","47615","9","","0.6","1.61014559111263","0.00030434338590809","64298","2.2"
"Portugal","1_Age60+","MOD","2021-06","2957186","","174","150","0","","0.0","0.00507238976513483","0","324","0.0"
"Portugal","1_Age60+","AZ","2021-07","2957186","","12170","1","0","","0.4","0.0000338159317675655","0","12171","0.4"
"Portugal","1_Age60+","COM","2021-07","2957186","","40688","19230","8","","1.4","0.650280367890285","0.000270527454140524","59926","2.0"
"Portugal","1_Age60+","MOD","2021-07","2957186","","9264","114","1","","0.3","0.00385501622150247","0.0000338159317675655","9379","0.3"
"Portugal","1_Age60+","AZ","2021-08","2957186","","24286","0","0","","0.8","0","0","24286","0.8"
"Portugal","1_Age60+","COM","2021-08","2957186","","103127","7257","2","","3.5","0.245402216837223","0.000067631863535131","110386","3.7"
"Portugal","1_Age60+","MOD","2021-08","2957186","","3389","6","0","","0.1","0.000202895590605393","0","3395","0.1"
"Portugal","AgeUNK","COM","2021-01","","","1","0","0","","","","","1",""
